"Permit #","Record Type","Permit Type","Record Status","Open Date","Updated Date","Date Assigned","Date Status","Task","Status","Description","APN","Address"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/4/2018","1/3/2018","1/4/2018","Intake Review","Application Accepted","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/19/2018","1/19/2018","1/19/2018","Engineering Review","Review Complete","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","1/12/2018","1/26/2018","Planning Review","Comments","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","1/4/2018","1/26/2018","Other Review","Review Complete","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","1/4/2018","1/26/2018","Building Review","Review Complete","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","1/4/2018","1/26/2018","Traffic Engineering Review","No Comments","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","","1/26/2018","CEQA Review","Project Exempt","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","1/26/2018","1/26/2018","Consolidated Comments","Deemed Incomplete","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","1/26/2018","1/4/2018","1/26/2018","Arborist Review","No Comments","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","2/21/2018","1/26/2018","2/20/2018","Resubmittal","Route for Review","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","3/21/2018","3/21/2018","3/19/2018","Consolidated Comments","Deemed Complete","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","3/21/2018","3/21/2018","3/21/2018","Staff Analysis","Staff Level Decision","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","3/21/2018","2/21/2018","3/21/2018","Planning Review","Review Complete","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-001","Planning Project","Design Review Residential","Close Out","1/3/2018","4/5/2018","3/21/2018","4/5/2018","Staff Level Decision","Approved","Forouzandeh SFR Addition DR-OH","187011013","15 GROVER CT, WALCR, CA 94596"
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","1/11/2018","1/16/2018","Intake Review","Application Accepted","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","1/30/2018","1/22/2018","Staff Level Decision","Approved","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","1/30/2018","1/22/2018","Consolidated Comments","Deemed Complete","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","1/30/2018","1/22/2018","Staff Analysis","Staff Level Decision","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","1/30/2018","1/30/2018","Close Out","Closed","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","1/30/2018","1/30/2018","Planning Review","Review Complete","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-003","Planning Project","Other","Closed","1/11/2018","1/30/2018","","1/30/2018","CEQA Review","Project Exempt","ZCL for Walnut Creek Executive Park","143040099","2775 MITCHELL DR, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","2/15/2018","1/23/2018","1/23/2018","Intake Review","Application Accepted","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","2/15/2018","1/23/2018","1/23/2018","Intake Review","Application Accepted","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","2/15/2018","","2/15/2018","CEQA Review","Project Exempt","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","2/15/2018","","2/15/2018","CEQA Review","Project Exempt","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","2/15/2018","2/15/2018","2/15/2018","Planning Review","Comments","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","2/15/2018","2/15/2018","2/15/2018","Planning Review","Review Complete","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","2/15/2018","2/15/2018","2/15/2018","Planning Review","Comments","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","2/15/2018","2/15/2018","2/15/2018","Planning Review","Review Complete","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","4/25/2018","2/15/2018","4/23/2018","Consolidated Comments","Deemed Complete","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","4/25/2018","2/15/2018","4/23/2018","Consolidated Comments","Deemed Complete","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","4/25/2018","4/25/2018","4/23/2018","Staff Analysis","Deemed Complete","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Use Permit Administrative","Close Out","1/23/2018","4/25/2018","4/25/2018","4/23/2018","Staff Analysis","Staff Level Decision","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","4/25/2018","4/25/2018","4/23/2018","Staff Analysis","Deemed Complete","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
"Y18-004","Planning Project","Design Review Commercial","Close Out","1/23/2018","4/25/2018","4/25/2018","4/23/2018","Staff Analysis","Staff Level Decision","Heritage Eats at Broadway Plaza","183380015","24 BROADWAY LN, WALCR, CA "
