,id,name,serviceProviderCode,hostId,logLevel,enabled,display,hostedACA,isForDemo,state,country,defaultAppActive,databaseType,iconName
0,884c0072-7c8a-42ac-a900-0042c30b686d,ANAHEIMPW,ANAHEIM,2cbdd3d0-cfa8-4ff7-b12c-985ac3cc0d89,90,True,"Anaheim, CA - Public Works",True,False,CA,US,True,1,
1,c5fd485f-a51d-47a6-93f7-008061148b01,BROOKINGS,BROOKINGS,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Brookings,True,False,OR,US,True,1,logo.jpg
5,76113261-8850-43c9-8437-013826e54db3,PIKEVILLE,PIKEVILLE,e2cb7068-865f-4b0d-b774-4d1a63e66c61,90,True,City of Pikeville,True,False,KY,US,True,1,logo.png
8,29d3100a-bc98-422d-a162-018716ca6bb8,BUTTSCO,BUTTSCO,21c44f07-cba8-49d7-902d-b8b300a89fdc,90,True,BUTTSCO,True,False,GA,US,True,1,
14,d65f365d-d277-4f5c-9f9f-023d39f3db3a,BPHC,BPHC,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,Boston Public Health Commission,,False,MA,US,True,2,logo.jpg
15,d0db7edf-6a4c-4f95-b404-025524a0c67d,paloalto,paloalto,52f80df3-26db-462a-8c4c-125fdb29ce97,100,True,"City of Palo Alto, CA",,False,CA,US,True,2,logo.jpg
17,f87182b8-8607-4580-a24e-025a445b3e62,LANE_CO,LANE_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Lane County,True,False,OR,US,True,1,logo.png
20,008da694-77b8-4a49-9518-02812285b3b6,HARNEY_CO,HARNEY_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Harney County,True,False,OR,US,True,1,logo.jpg
22,92b9e885-b9b5-4130-aa86-02a6ab1f3121,SBCO-BUS,SBCO,f44935c4-7b71-437a-b954-3d1356921ba1,90,True,,,False,CA,US,True,2,
28,d6ac3c12-c1cf-4263-bd0e-03337275bbf2,MADISON,MADISON,1433b36a-6772-49a2-bd7e-2379b4a4b669,90,True,City of Madison,True,False,WI,US,True,2,logo.jpg
35,b2a55c8d-b996-4c67-b8e2-03ee566ae0f6,MENIFEE,MENIFEE,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Menifee,True,False,CA,,True,2,logo.jpg
36,bd38a186-4ac0-4e1d-8375-03f9fc97cf77,Azure-MT-QA-Geo,QA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,,False,CA,US,True,2,
38,b0dc64da-d082-4722-bc74-04270e283259,STANDARDTEST-ESRI-SQL,STANDARDTEST,24882904-d073-4740-b3a4-29e33df57986,90,True,agency displayName,,False,CA,US,True,2,
56,73e53cce-155b-414e-b0c5-05d927c17727,SOMERTON,SOMERTON,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Somerton Arizona,True,False,AZ,US,True,2,logo.jpg
59,6e0a3221-94fd-4234-a0cc-06098241616c,AZMONTGOMERY,MONTGOMERY,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,MONTGOMERY,True,False,OH,US,True,2,logo.png
61,8fad8794-c55d-48d8-9e7e-066c29e47e39,LINCOLNWOOD,LINCOLNWOOD,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,"Lincolnwood, IL",True,False,IL,US,True,2,
63,5e3fb71f-0975-4ff4-b7cb-0691f1a18a72,KETTERING,KETTERING,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,KETTERING,True,False,OH,US,True,2,logo.png
64,557d30c5-25cc-4ffa-819d-0699296ca3e8,ASTORIA,ASTORIA,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Astoria,True,False,OR,US,True,1,logo.jpg
65,b8006a43-0442-471b-abaa-06dab5b9a382,BAKER_CITY,BAKER_CITY,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Baker City,True,False,OR,US,True,1,logo.jpg
67,3d7ad5e3-3403-4514-98e7-06ef91dcf18a,LICENSE,BARRIE,947bd79f-f524-4fbe-8891-407ad9b54ebc,90,True,LICENSE,True,False,ON,US,True,2,
70,80e616dc-db12-4e20-87b2-0762ca859c0f,LAKE_CO,LAKE_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Lake County,True,False,OR,US,True,1,logo.jpg
71,1f2225a6-29c8-4bc2-a688-0779c85c472d,STPETEBEACH,STPETEBEACH,e2cb7068-865f-4b0d-b774-4d1a63e66c61,90,True,STPETEBEACH,,False,FL,US,True,1,
72,d7460775-8243-49cb-b4b7-07952dcc665b,EASTPOINT,EASTPOINT,e2cb7068-865f-4b0d-b774-4d1a63e66c61,90,True,EASTPOINT,True,False,MO,US,True,1,logo.png
77,d24a9c13-eac9-49c9-a1d3-08021d8138f7,LINCOLN_CO,LINCOLN_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Lincoln County,True,False,OR,US,True,1,logo.jpg
81,480a8370-cda3-42e6-95cd-08e740ebad37,RMOW,RMOW,b73e42b0-9585-46f9-9a4e-2191b6e31e08,90,True,RMOW,,False,BC,CA,True,2,logo.png
82,90062aa1-a7ec-4000-89e8-08ff81a2b771,RyanTest,CRC,d6e733d3-634c-4f75-8193-4b8b68c28292,90,True,"City of CRC, UT",,False,UT,US,True,2,
85,686c2800-42c9-4e11-becd-0961e04879aa,MONTEREY,MONTEREY,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,"County of Monterey, CA",True,False,CA,US,True,2,
86,bae6597d-e731-4815-b195-0977989f59e8,COS-ENF,COS,0d21961d-226c-4e48-989a-0257b2f93d05,90,True,COS Enforcement,,False,MA,US,True,2,
94,7c0c58d9-e16b-450f-8caf-0a6eeb146824,JCCAL-ESD,JCCAL,88189ee7-2bfa-4a96-b6ca-7ddb28db2fc7,90,True,"Jefferson County, AL",,False,AL,US,True,1,
97,82ac7c18-b61c-4796-9ba1-0adbb863e90e,PRESCOTTVLY,PRESCOTTVLY,c4948760-c836-4d6b-a8c6-9732a04e5d2a,90,True,Prescott Valley,True,False,AZ,US,True,1,
100,3b6d3c21-9ab4-4cb2-860a-0b2c14538751,NVGOV,NVGOV,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,True,False,NV,US,True,2,
106,cf055b04-4a9e-4cfa-b57e-0bf8dbbc8133,petaluma-qa,PETALUMA,4001faae-857c-41f1-8045-e7658e669ab7,90,True,,True,False,CA,US,True,1,
112,acfdad7c-8c2e-4188-893e-0ca0b5fe6e99,OntarioLandscape,ONT,976296d5-a31f-443b-b76d-c1ee9953f9d7,90,True,Ontario Landscape Architecture and Planning,,False,CA,US,True,1,logo.jpg
120,ea7c3427-e44e-49c8-a1dc-0d3611a38249,PINEHURST,PINEHURST,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,Village of Pinehurst,True,False,NC,US,True,2,logo.png
124,cbcb8503-55da-4387-83b7-0d7c142bc5c3,SANTACLARA,SANTACLARA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Santa Clara,True,False,CA,US,True,2,logo.jpg
128,169c2e00-47e5-423c-b593-0def823e9ab8,DEVGATEWAY,DEVGATEWAY,947bd79f-f524-4fbe-8891-407ad9b54ebc,90,True,,True,False,ON,CA,True,2,
137,f1828d86-ae77-4942-9586-0f1ebd5b76f7,TOB,TOB,dade620e-1382-490a-80ed-9952902b094e,90,True,Town of Brookhaven,,False,NY,US,True,1,
145,a2ad798f-c44c-45e5-87f9-10292952b675,COS,COS,0d21961d-226c-4e48-989a-0257b2f93d05,90,True,"City of Springfield, MA",,False,MA,US,True,2,
147,788e6294-4b6b-414b-8497-1080cf4df36e,SWS,SWS,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Building Codes Division,,False,OR,US,True,1,logo.png
148,428ec60d-0774-4286-8ea1-1097c6c6010a,SPRINGFIELD,SPRINGFIELD,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Springfield,True,False,OR,US,True,1,logo.png
150,f65484e5-ef72-42a5-8ea4-10e1774cb120,UMATILLA_CO,UMATILLA_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Umatilla County,True,False,OR,US,True,1,logo.png
157,1f868091-797f-466a-b1f6-118d98a5460d,DRAGON,GAM,0fca40f7-bef6-4c2b-abd4-95569fd5b69d,90,True,,,False,CA,US,True,2,
161,2c1d3193-7d43-411e-be5f-12368048836a,GILLIAM_CO,GILLIAM_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Gilliam County,True,False,OR,US,True,1,logo.png
162,c10ce6f1-a996-4c7f-b46c-124475cb2fe0,DPR-STANDARDTEST,STANDARDTEST,43d55a68-e169-4a54-af3a-2ec21e9763a0,90,True,,,False,CA,US,True,1,
166,413073f8-1f57-4d0b-a85a-12e93189475c,CLOUD12,CLOUD12,c19b975c-f24f-4900-a809-4129e8a96d30,90,True,_Cloud12-DEMO,True,False,CA,US,True,1,logo.png
