GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
060070001021,2014,1.02.1,"Butte County, California",1591,19.35,215,58.35,925,34821,272400,35.8,80.96,0.13,14.27,0,1.45,0,3.21,0,9,6,2.79,4.18,0,0,0
060070001022,2014,1.02.2,"Butte County, California",1646,4.27,131,21.65,1294,60893,239800,24.1,64.64,0,22.24,0,8.26,0,4.86,0,4,3,2.3,3.06,0,0,0
060070001023,2014,1.02.3,"Butte County, California",1012,0,166,16.23,1141,43015,141400,43.2,79.64,1.28,11.17,0,0.69,0,7.21,0,3,3,1.8,1.8,0,0,0
060070001031,2014,1.03.1,"Butte County, California",3980,0.82,398,24.74,1414,81250,264600,25.1,74.05,0.85,16.78,1.21,3.97,0.2,2.94,0,3,3,0.75,0.75,0,0,0
060070001041,2014,1.04.1,"Butte County, California",1730,15.29,247,44.11,953,44775,264200,36.2,81.56,1.62,13.01,0,3.82,0,0,0,2,1,0.4,0.81,0,0,0
060070001042,2014,1.04.2,"Butte County, California",3304,13.92,882,71.8,832,30151,237700,47.2,65.95,2.97,18.67,0,9.23,0,3.18,0,14,10,1.13,1.59,0,0,0
060070001043,2014,1.04.3,"Butte County, California",695,7.53,225,35.26,775,43977,251900,29.4,84.6,3.74,9.5,0,2.01,0,0.14,0,4,3,1.33,1.78,0,0,0
060070002011,2014,2.01.1,"Butte County, California",943,37.04,334,83.53,865,27404,,33.7,65.01,0,28.95,0,0.85,0,5.2,0,10,6,1.8,2.99,0,0,0
060070002012,2014,2.01.2,"Butte County, California",896,0,34,17.2,,36625,33300,14.8,79.35,0,15.85,0,0,0,4.8,0,2,1,2.91,5.83,0,0,0
060070002013,2014,2.01.3,"Butte County, California",767,0,65,12.55,1688,88365,273400,31.3,86.18,0,11.99,0.78,1.04,0,0,0,2,1,1.55,3.09,0,0,0
060070002014,2014,2.01.4,"Butte County, California",1807,16.59,497,62.28,706,49000,269100,27.4,68.79,0,27.61,1.05,0.39,0,2.16,0,7,6,1.21,1.41,0,0,0
060070002021,2014,2.02.1,"Butte County, California",1495,19.66,454,61.55,842,32222,233200,45.2,74.65,8.09,9.43,0,0.54,0,7.29,0,3,1,0.22,0.66,0,0,0
