Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201603141951,1,new construction,03/14/2016,4591D,131,1,,Earl,St,,,"aka address 898 la salle ave. phrase 1b, building a. 
to erect 4 story, 1 basement, type va, 16 units residential building.
** maher: n/a **",issued,09/12/2017,03/14/2016,09/12/2017,,06/10/2021,,,4,,,08/12/2023,5000000,5000000,,,apartments,16,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1415843502419
200509152957,2,new construction wood frame,09/15/2005,3505,022,83,,Brady,St,,,to erect 5 stories of 6 dwelling residential units.,complete,04/02/2018,09/15/2005,05/06/2008,04/02/2018,,,,5,,,11/06/2010,1600000,1800000,,,apartments,6,2,,,,5,wood frame (5),,6,Mission,94103,POINT (-122.41984117848844 37.7726926891943),1028906156254
200509152957,2,new construction wood frame,09/15/2005,3505,022,85,,Brady,St,,,to erect 5 stories of 6 dwelling residential units.,complete,04/02/2018,09/15/2005,05/06/2008,04/02/2018,,,,5,,,11/06/2010,1600000,1800000,,,apartments,6,2,,,,5,wood frame (5),,6,Mission,94103,POINT (-122.41984117848844 37.7726926891943),1029071448035
200504059216,2,new construction wood frame,04/05/2005,1198,009,1610,,Hayes,St,,,erect 4 stories of 3 dwelling units with garage.,complete,12/19/2007,04/05/2005,01/19/2007,12/19/2007,,,,4,,,07/19/2009,1400000,1400000,,,apartments,3,2,,,,5,wood frame (5),Y,5,Lone Mountain/USF,94117,POINT (-122.44309269444369 37.774555496955315),101152892098
9419444S,2,new construction wood frame,11/28/1994,2923,007,36,,Edgehill,Wy,,,erect a two story single family dwelling,issued,07/24/2001,11/28/1994,07/24/2001,,,,,2,,,07/24/2003,200000,304000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94127,POINT (-122.46116287831038 37.74307787102708),507410147212
9616469S,2,new construction wood frame,09/03/1996,3755,102,108,,Langton,St,,,to erect a new 4 unit condo building,reinstated,02/28/2002,09/03/1996,01/24/2002,,02/05/2002,,,3,,,01/24/2004,200000,450000,,,apartments,4,2,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.40813907008021 37.775908596864),587668166358
9621910S,2,new construction wood frame,11/12/1996,0105,028,1434,,Kearny,St,,,erect a three story two unit residential bldg,expired,09/07/2002,11/12/1996,03/18/2000,,,,,3,,,03/18/2002,722000,722000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.40580757660756 37.8013599960444),807709386438
9621910S,2,new construction wood frame,11/12/1996,0105,028,1432,,Kearny,St,,,erect a three story two unit residential bldg,expired,09/07/2002,11/12/1996,03/18/2000,,,,,3,,,03/18/2002,722000,722000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.40580757660756 37.8013599960444),793986379321
9702926S,2,new construction wood frame,02/19/1997,6494,069,345,,Guttenberg,St,,,.,complete,11/16/2001,02/19/1997,07/18/2000,11/16/2001,07/19/2000,,,2,,,07/18/2001,100000,160000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,11,Excelsior,94112,POINT (-122.44198762237528 37.70895964970252),823408387712
9703126S,2,new construction wood frame,02/21/1997,1843,034,1446,,11th,Av,,,erect 4-story 2 dwelling units,complete,02/07/2002,02/21/1997,02/27/2001,02/07/2002,02/27/2001,,,4,,,02/27/2003,40000,359100,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,7,Inner Sunset,94122,POINT (-122.46793019351014 37.7611985873274),608963116939
