Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
202008182040,2,new construction wood frame,08/18/2020,1855,011,1561,,09th,Av,,,"(rear of (e) lot with an (e) r-3/28 structure in the westly portion of lot) build 1 new ~500sf building (per ordinance 162-16) in back yard per site plan a 1-story, type v-b single family dwelling with a peak height of 14'-8"".",filed,08/18/2020,08/18/2020,,,,,,1,,,,50000,90000,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Inner Sunset,94122,POINT (-122.4663014348202 37.75919365062805),1596460430476
202008182040,2,new construction wood frame,08/18/2020,1855,011,1559,,09th,Av,,,"(rear of (e) lot with an (e) r-3/28 structure in the westly portion of lot) build 1 new ~500sf building (per ordinance 162-16) in back yard per site plan a 1-story, type v-b single family dwelling with a peak height of 14'-8"".",filed,08/18/2020,08/18/2020,,,,,,1,,,,50000,90000,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Inner Sunset,94122,POINT (-122.4663014348202 37.75919365062805),1596459117348
201803305089,2,new construction wood frame,03/30/2018,1067,034,44,V,Cook,St,,,"to erect 4 stories, no basement, type v-b, 2 units residential building.",filed,03/30/2018,03/30/2018,,,,,,4,,,,1000000,1236261,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,2,Presidio Heights,94118,POINT (-122.45206189156534 37.783019062345396),150244688813
201905170927,1,new construction,05/17/2019,8954,001,201,,Forest,Rd,,,"yerba buena island project. bldg# 19 (4y). to erect 4 stories, no basement, type iii-a, 4 units residential townhouse.",filed,05/17/2019,05/17/2019,,,,,,4,,,,3100000,,,,apartments,4,2,,,,3,constr type 3,,6,Treasure Island,94130,POINT (-122.36557962649428 37.81108056660082),1552748514795
202103126495,2,new construction wood frame,03/12/2021,4810,028C,1415,,Underwood,Av,,,erect,filed,03/12/2021,03/12/2021,,,,,,,,,,,,,,,,2,,,,,,,10,Bayview Hunters Point,94124,POINT (-122.38863050154491 37.727657794726596),1612258175366
201809170506,2,new construction wood frame,09/17/2018,0221,032,1263,,Clay,St,,,"to erect a type v-a, 4-story single family residence- no basement levels.",filed,09/17/2018,09/17/2018,,,,,,4,,,,900000,,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,3,Nob Hill,94108,POINT (-122.41377493328639 37.79316036859212),152408862880
202103035700,1,new construction,03/03/2021,4224,033,999,V,Texas,St,,,"erect new 7 stories, type i, apartment building as per home sf guidlines w/one additional story above 40-x height limit (extra 10' bonus height); on block 4224, lot 032 & 033",filed,03/03/2021,03/03/2021,,,,,,7,,,,5000000,,,,apartments,25,2,,,,1,constr type 1,Y,10,Potrero Hill,94107,POINT (-122.39433362628564 37.75305188300396),1611380172453
201906183782,2,new construction wood frame,06/18/2019,0838,024,265,,Oak,St,,,"erect a new single family dwelling, 4 stories,no basement, type 5-b",filed,06/18/2019,06/18/2019,,,,,,4,,,,550000,550000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,5,Hayes Valley,94102,POINT (-122.4235685643194 37.77463272597595),1556773237541
201908169037,2,new construction wood frame,08/16/2019,5279,055,1632,,Kirkwood,Av,,,"to erect a type 5-a, 4-story two dwelling unit building with no basement.",filed,08/16/2019,08/16/2019,,,,,,4,,,,800000,900000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3903937930826 37.738717193398685),1565940515847
201912068918,1,new construction,12/06/2019,3762,001,400,,03rd,St,,,"to erect 7 stories, no basement, type ii-a, mix used office/retail, commercial building. 
** maher compliance with ord #155-13; route to dph **",filed,12/06/2019,12/06/2019,,,,,,7,,,,10000000,13000000,,,office,0,2,,,,2,constr type 2,Y,6,South of Market,94107,POINT (-122.3973257649975 37.78219939446718),1578366473498
202105120207,1,new construction,05/12/2021,0578,015,1973,,Broadway,,,,"construct new 4-story, single-family building with 1 basement",filed,05/12/2021,05/12/2021,,,,,,4,,,,45000,,,,1 family dwelling,1,2,,,,5,wood frame (5),,2,Pacific Heights,94109,POINT (-122.42947555393013 37.794696029563084),161632875132
202105200695,2,new construction wood frame,05/20/2021,4300,001,0,,Situs To Be Assigned,,0,,to erect a 1 story type v building,filed,05/20/2021,05/20/2021,,,,,,1,,,,32000000,,,,public assmbly other,0,2,,,,1,constr type 1,Y,10,Bayview Hunters Point,,POINT (-122.38336696414012 37.75244380220047),1616858485775
201603141951,1,new construction,03/14/2016,4591D,131,1,,Earl,St,,,"aka address 898 la salle ave. phrase 1b, building a. 
to erect 4 story, 1 basement, type va, 16 units residential building.
** maher: n/a **",issued,09/12/2017,03/14/2016,09/12/2017,,06/10/2021,,,4,,,08/12/2023,5000000,5000000,,,apartments,16,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1415843502419
201912129356,1,new construction,12/12/2019,0573,011,1580,,Pacific,Av,,,"to erect 6 stories, no basement, type iii-a over type i-a, 53 residential units with mixed use building. (r-2,b,m,s-2)
** maher: yes; route to dph **",filed,12/12/2019,12/12/2019,,,,,,6,,,,9200000,18000000,,,apartments,53,2,,,,3,constr type 3,Y,3,Russian Hill,94109,POINT (-122.42128545612061 37.79533850642781),1578953388565
201407090779,1,new construction,07/09/2014,5513,012,1513,D,York,St,,,"building e: erect 3-story, type iiia, two family dwelling.",filed,07/09/2014,07/09/2014,,,,,,3,,,,100000,800000,,,2 family dwelling,2,2,,,,3,constr type 3,Y,9,Bernal Heights,94110,POINT (-122.40708817836 37.748047122352986),1348275500111
201407090781,1,new construction,07/09/2014,5513,011,1513,F,York,St,,,"erect 4-story, 1 family dwelling unit building.",filed,07/09/2014,07/09/2014,,,,,,4,,,,100000,800000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.40686723209122 37.748125532116475),1348272500113
201812118001,2,new construction wood frame,12/11/2018,1738,040,1222,,Funston,Av,,,erect (n) 4-story single family residence,filed,12/11/2018,12/11/2018,,,,,,4,,,,831000,909000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,5,Inner Sunset,94122,POINT (-122.470358666337 37.76517523234032),1534674112325
201603293392,2,new construction wood frame,03/29/2016,4591D,131,1,,Earl,St,,,"bldg h. erect 3-story, type 5-a, no basement, 14 dwelling units building.  maher n/a.",approved,05/04/2021,03/29/2016,,,,,,3,,,,4800000,6000000,,,apartments,14,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1417764502419
202008282879,2,new construction wood frame,08/28/2020,5528,006,125,,Mullen,Av,,,"erect a type 5, 1 story,single family dwelling & adu , no basement at rear",filed,08/28/2020,08/28/2020,,,,,,1,,,,80000,125000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.40862591780804 37.74643499190004),1597392183675
202103196894,2,new construction wood frame,03/19/2021,5993,022,1310,,Bacon,St,0,,"to erect 1 story r-3 occupancy , no basement, type v-b, housing recovery residents.",filed,03/19/2021,03/19/2021,,,,,,1,,,,100000,160000,,,misc group residns.,1,2,,,,5,wood frame (5),,9,Portola,94134,POINT (-122.41567002403256 37.72528248535488),1612708483005
202012070383,2,new construction wood frame,12/07/2020,6246,037,251,,Raymond,Av,,,(n) streamlined detached accessory dwelling unit,filed,12/07/2020,12/07/2020,,,,,,,,,,150000,235000,,,2 family dwelling,1,1,,,,,,,10,Visitacion Valley,94134,POINT (-122.4082537833165 37.713317007796824),1605585199127
202105039714,2,new construction wood frame,05/03/2021,6042,038,490,,Hamilton,St,,,new 507 sf hud/hcd approved manufactured unit to be installed on permanent foundation as a detached adu.,filed,05/03/2021,05/03/2021,,,,,,,,,,40560,91908,,,1 family dwelling,1,1,,,,,,,9,Portola,94134,POINT (-122.40935358760355 37.72495793103509),1615784194716
201905170929,1,new construction,05/17/2019,8954,001,217,,Forest,Rd,,,"yerba buena island project. bldg# 21 (4y). to erect 4 stories, no basement, type iii-a, 4 units residential townhouse.",filed,05/17/2019,05/17/2019,,,,,,4,,,,3000000,,,,apartments,4,2,,,,3,constr type 3,,6,Treasure Island,94130,POINT (-122.36557962753513 37.8110805661504),1552750514793
201905170931,1,new construction,05/17/2019,8954,001,233,,Forest,Rd,,,"yerba buena island project. bldg# 23 (4y). to erect 3 stories, no basement, type iii-a, 4 units residential townhouse.",filed,05/17/2019,05/17/2019,,,,,,3,,,,2100000,,,,apartments,4,2,,,,3,constr type 3,,6,Treasure Island,94130,POINT (-122.36557962753513 37.8110805661504),1552756514791
201905170934,1,new construction,05/17/2019,8954,001,241,,Forest,Rd,,,"yerba buena island project. bldg# 26 (4y). to erect 4 stories, no basement, type iii-a, 7 units residential townhouse.",filed,05/17/2019,05/17/2019,,,,,,4,,,,4250000,4250000,,,apartments,7,2,,,,3,constr type 3,,6,Treasure Island,94130,POINT (-122.36557962753513 37.8110805661504),1552760514790
201905170935,1,new construction,05/17/2019,8954,001,119,,Forest,Rd,,,"yerba buena island project. bldg# 27 (4y). to erect 4 stories, 2 basements, type iii-a / i-a, 14 units residential townhouse.",filed,05/17/2019,05/17/2019,,,,,,4,,,,10350000,10350000,,,apartments,14,2,,,,3,constr type 3,,6,Treasure Island,94130,POINT (-122.36557962753513 37.8110805661504),1552761514787
201707182272,2,new construction wood frame,07/18/2017,0063,011,526,,Lombard,St,,,"to erect 4 stories, 1 basement, type v-b, 2 units residential building.",filed,07/18/2017,07/18/2017,,,,,,4,,,,100000,900000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,3,North Beach,94133,POINT (-122.410336045098 37.80344910160018),147099457373
