Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Record ID
7906244S,1,new construction,06/18/1979,3135,031,201,,03rd,St,,,,complete,07/31/1984,06/18/1979,09/20/1979,07/31/1984,,,,,,,18264308,,,,,0,2,,,,,,Y,,,94105,765905354978
8010595S,1,new construction,12/01/1980,3706,039,50,,03rd,St,,,,complete,02/14/1984,12/01/1980,09/28/1981,02/14/1984,,,,,,,53806313,,,,,0,2,,,,,,Y,,,94103,763631350447
8201198,2,new construction wood frame,02/17/1982,2934,008,333,,Edgehill,Wy,,,,cancelled,07/18/1984,02/17/1982,,,,,,,,,200000,,,,,1,2,,,,,,,,,94127,764047351331
8205374S,1,new construction,06/30/1982,3735,020,190,,Clementina,St,,,,withdrawn,01/25/1983,06/30/1982,,,,,,9,,,13840373,,,,,0,4,,,,1,constr type 1,Y,,,94105,764415352119
8209338,2,new construction wood frame,11/10/1982,1547,035,560,,05th,Av,,,,cancelled,01/04/1984,11/10/1982,,,,,,,,,200000,,,,,0,2,,,,,,,1,Inner Richmond,94118,765754354718
8210104S,1,new construction,12/09/1982,0164,031,50,,Osgood,Pl,,,,complete,04/12/1990,12/09/1982,10/31/1983,04/12/1990,,,,0,,,3378522,,,,,1,2,P,,,,,Y,3,North Beach,94133,3342661369
8300205,1,new construction,01/10/1983,6972,0020,2301,,San Jose,Av,,,,expired,09/24/1985,01/10/1983,05/09/1983,,,,,2,,,2847000,,,,,0,2,,,,1,constr type 1,,,,94112,765894354995
8303687,2,new construction wood frame,04/29/1983,1234,031,1349,,Page,St,,,erect,complete,10/17/1984,04/29/1983,08/19/1983,10/17/1984,,,,3,,,357800,,,,apartments,3,2,,,,5,wood frame (5),,,,94117,839739240774
8304760S,1,new construction,05/26/1983,0221,126,1208,,Jones,St,,,erect,expired,01/11/1988,05/26/1983,01/17/1984,,,,,6,,,1916600,,,,apartments,14,2,,,,3,constr type 3,Y,,,94108,840202362425
8308323S,1,new construction,08/23/1983,3705,042,865,,Market,St,,,,complete,05/09/1989,08/23/1983,11/01/1985,05/09/1989,,,,29,,,77726919,,,,office,0,2,R,,,1,constr type 1,Y,6,South of Market,94103,51651164435
8308495,1,new construction,08/29/1983,3749,0055,50,,Guy,Pl,,,,withdrawn,05/04/1987,08/29/1983,,,,,,6,,,500000,,,,office,0,2,R,,,2,constr type 2,,,,94105,766812358482
8308560,2,new construction wood frame,08/31/1983,1689,0035,850,,47th,Av,,,,complete,06/28/1984,08/31/1983,12/29/1983,06/28/1984,,,,3,,,272000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,,,94121,766819358492
8309002,2,new construction wood frame,09/13/1983,6759,026,907,,Bosworth,St,,,erect,complete,11/13/1985,09/13/1983,05/01/1984,11/13/1985,,,,2,,,800000,,,,apartments,20,4,,,,5,wood frame (5),,,,94131,840048252603
8310617,1,new construction,10/20/1983,2387,007,2450,,39th,Av,,,parking,expired,11/25/1985,10/20/1983,08/23/1984,,,,,1,,,529221,,,,prkng garage/public,20,2,,,,1,constr type 1,,,,94116,766988358800
8400419,2,new construction wood frame,01/11/1984,0617,014,1945,,Washington,St,,,,complete,08/07/1986,01/11/1984,04/08/1985,08/07/1986,,,,4,,,3700000,,,,apartments,42,4,,,,5,wood frame (5),,,,94109,85708476428
8401088,2,new construction wood frame,01/30/1984,4711,001,10,,Richards,Cr,,,,complete,05/01/1985,01/30/1984,06/11/1984,05/01/1985,,,,2,,,117500,,,,1 family dwelling,1,2,,,,5,wood frame (5),,,,94124,767300359353
8411002,1,new construction,10/11/1984,6543,017,0,V,Unknown,,,,,cancelled,09/22/1986,10/11/1984,,,,,,1,,,619122,375980,,,prkng garage/public,27,4,,,,1,constr type 1,,,,94127,88964206939
8412714,1,new construction,11/29/1984,6544,008,4451,,25th,St,,,to erect 2 stories residential condomium,cancelled,07/28/1986,11/29/1984,,,,,,1,,,288315,,,,prkng garage/public,0,4,,,,1,constr type 1,,,,94114,768692361017
8412732,1,new construction,11/30/1984,5211,024,3450,,03rd,St,,,,complete,09/08/1985,11/30/1984,04/24/1985,09/08/1985,,,,2,,,630000,,,,"warehouse,no frnitur",0,2,,,,3,constr type 3,,,,94124,768695360465
8501255,2,new construction wood frame,02/05/1985,4881,020,1601,,Donner,Av,,,,complete,10/15/1986,02/05/1985,06/21/1985,10/15/1986,,,,2,,,208050,,,,"warehouse,no frnitur",0,2,,,,5,wood frame (5),,,,94124,768894361285
8501193,1,new construction,02/04/1985,4288,001,1760,,Cesar Chavez,St,,,,complete,06/23/1986,02/04/1985,06/17/1985,06/23/1986,,,,1,,,1573685,,,,office,0,2,,,,3,constr type 3,,,,94124,768889361272
8501965,2,new construction wood frame,02/27/1985,3605,081,3931,,20th,St,,,,complete,08/28/1986,02/27/1985,10/17/1985,08/28/1986,,,,2,,,221000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,,,94114,97445248249
8502022S,2,new construction wood frame,02/27/1985,4848,001,1551,,Yosemite,Av,,,,expired,09/05/1989,02/27/1985,06/06/1985,,,,,1,,,2500000,,,,"warehouse,no frnitur",0,4,,,,5,wood frame (5),Y,,,94124,768970361384
8503315,1,new construction,04/03/1985,4629,003,951,,Hudson,Av,,,mini storage warehouse,withdrawn,12/10/1985,04/03/1985,,,,,,2,,,25000,,,,"warehouse,no frnitur",0,2,,,,4,constr type 4,,,,94124,769102361539
8506517,1,new construction,06/21/1985,3548,039,1801,,Mission,St,,,,cancelled,03/31/1986,06/21/1985,,,,,,1,,,100000,,,,auto repairs,0,2,,,,3,constr type 3,,9,Mission,94103,106979157853
8604110S,1,new construction,04/09/1986,0731,001,1550,,Eddy,St,,,,issued,07/20/1987,04/09/1986,07/20/1987,,,,,,,,10600520,,,,prkng garage/public,0,4,,,,1,constr type 1,Y,,,94115,770681363198
8605172S,2,new construction wood frame,05/02/1986,3773,002,198,,Brannan,St,,,,complete,11/01/1988,05/02/1986,10/21/1986,11/01/1988,,,,4,,,6200000,,,,apartments,119,4,,,,5,wood frame (5),Y,,,94107,770783363313
8606827,2,new construction wood frame,06/11/1986,0249,024,1565,,Sacramento,St,,,,complete,07/28/1987,06/11/1986,10/31/1986,07/28/1987,,,,3,,,663600,,,,apartments,6,2,,,,5,wood frame (5),,,,94109,13309663642
8608975S,1,new construction,07/30/1986,0707,004,1730,,Ofarrell,St,,,,expired,01/31/1992,07/30/1986,07/31/1987,,,,,12,,,8599514,13295176,,,apartments,136,4,,,,2,constr type 2,Y,,,94115,771117363697
8609216,1,new construction,07/30/1986,3951,004,1079,,16th,St,,,,cancelled,03/13/1987,07/30/1986,,,,,,1,,,1075000,,,,"warehouse,no frnitur",0,2,,,,3,constr type 3,,10,Mission Bay,94107,137406168125
8615850,2,new construction wood frame,12/15/1986,0550,031,1445,,Green,St,,,residential,cancelled,07/26/1988,12/15/1986,,,,,,3,,,180000,,,,apartments,3,4,,,,5,wood frame (5),,,,94109,14886173997
8700157,2,new construction wood frame,01/07/1987,1102,014,1245,,Broderick,St,,,erect 3 story - 2 family dwelling,complete,01/14/1988,01/07/1987,04/09/1987,01/14/1988,,,,3,,,175000,,,,2 family dwelling,2,2,,,,5,wood frame (5),,,,94115,14981489580
8705599,2,new construction wood frame,04/29/1987,3574,044,611,,South Van Ness,Av,,,two story amto repair shop,expired,03/07/1989,04/29/1987,11/06/1987,,,,,2,,,250000,,,,auto repairs,0,2,,,,5,wood frame (5),,,,94102,772262364826
8705890S,1,new construction,05/05/1987,3751,166,300,,03rd,St,,,13 story - 235 unit residential bldg,complete,11/09/1989,05/05/1987,08/20/1987,11/09/1989,,,,13,,,25000000,,,,apartments,235,2,,,,1,constr type 1,Y,,,94107,772282364844
8801770S,1,new construction,02/16/1988,0750,002,1515,,Eddy,St,,,parking structure,expired,10/28/1993,02/16/1988,04/28/1989,,,,,6,,,6091000,18208529,,,apartments,173,4,,,,1,constr type 1,Y,,,94115,773604366051
8900099,1,new construction,01/05/1989,5279,050,1689,,Jerrold,Av,,,erect a one story warehouse/office bldg,cancelled,03/06/1991,01/05/1989,,,,,,1,,,150000,,,,"warehouse, furniture",0,2,,,,3,constr type 3,,,,94124,775435367743
8902594S,2,new construction wood frame,02/15/1989,2923,055,118,,Kensington,Wy,,,erect single family dwelling,complete,01/12/2001,02/15/1989,07/27/1995,01/12/2001,,,,3,,,200000,360000,,,1 family dwelling,1,2,,,,1,constr type 1,Y,,,94127,775664367961
8905941,2,new construction wood frame,04/12/1989,1595,035,778,,Great,Hy,,,erect a three story three unit residential bldg,expired,11/17/1991,04/12/1989,11/17/1989,,,,,3,,,230000,376000,,,apartments,3,2,,,,5,wood frame (5),,,,94121,814492243588
8912478,2,new construction wood frame,07/14/1989,0807,014,634,,Laguna,St,,,erect a three story three unit residential bldg,complete,12/12/1990,07/14/1989,03/20/1990,12/12/1990,,,,3,,,322000,,,,apartments,3,2,,,,5,wood frame (5),,,,94102,247364237218
8925565,2,new construction wood frame,01/02/1990,0832,010,269,,Hickory,St,,,erect a three story single family dwelling,cancelled,07/07/1995,01/02/1990,,,,,,3,,,150000,248000,,,1 family dwelling,1,2,,,,5,wood frame (5),,,,94102,777750369801
9000608,2,new construction wood frame,01/12/1990,5861,001,401,,Gaven,St,,,erect a three story single family dwelling,complete,03/16/1995,01/12/1990,05/05/1994,03/16/1995,,,,2,,,140000,170000,,,1 family dwelling,1,2,,,,5,wood frame (5),,,,94134,270351291245
9012306S,2,new construction wood frame,06/21/1990,3601,069,3945,V,19th,St,,,erect a four story two unit residential bldg,cancelled,04/05/1993,06/21/1990,,,,,,4,,,275000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,,,94114,294028161174
9018489S,2,new construction wood frame,09/12/1990,3574,057,348,,Shotwell,St,,,to erect 2 stories of 2 family dwelling,complete,05/23/1996,09/12/1990,05/06/1991,05/23/1996,,,,2,,,252000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,,,94110,304552159317
9019549S,2,new construction wood frame,09/25/1990,5335A,145,1850,,Newhall,St,,,erect one single family residence,withdrawn,12/24/1990,09/25/1990,,,,,,1,,,105000,,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,,,94124,779620371183
9019754S,2,new construction wood frame,09/27/1990,4096,008,758,,Carolina,St,,,erect 3 stories 2 family dwellings,cancelled,11/30/1992,09/27/1990,,,,,,3,,,100000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,,,94107,306155170337
9022089S,2,new construction wood frame,10/26/1990,0599,001,1901,,Van Ness,Av,,,erect a 9 story 164 unit residential with coml/parking,issued,12/23/1991,10/26/1990,12/23/1991,,,,,9,,,17180533,20050000,,,apartments,164,2,,,,1,constr type 1,Y,,,94109,31063575956
9104680,2,new construction wood frame,03/25/1991,4324,001,1226,,Connecticut,St,,,erect a three story two unit residential bldg,complete,09/29/1992,03/25/1991,09/10/1991,09/29/1992,,,,3,,,616500,,,,artist live/work,2,2,,,,5,wood frame (5),,,,94107,780657371937
9107617S,2,new construction wood frame,05/06/1991,1690,041,807,,47th,Av,,,erect a two story three unit residential bldg,complete,05/19/1992,05/06/1991,09/12/1991,05/19/1992,,,,3,,,260000,,,,apartments,2,2,,,,5,wood frame (5),Y,,,94121,335766110465
9201630,1,new construction,02/03/1992,3994,012,610,,Illinois,St,,,erect a one story warehouse,expired,12/17/1992,02/03/1992,,,,,,1,,,200000,,,,"warehouse,no frnitur",0,2,,,,3,constr type 3,,,,94107,858649168422
9213837S,2,new construction wood frame,08/14/1992,4991,087,8,,Lick,Pl,,,erect a four story seven unit residential structure,withdrawn,05/21/1996,08/14/1992,,,,,,4,,,582000,,,,apartments,4,4,,,,5,wood frame (5),Y,,,94104,784103373936
9221055,2,new construction wood frame,12/04/1992,1149,018,2283,,Turk,Bl,,,erect a three story three unit residential bldg,complete,09/21/1995,12/04/1992,06/21/1994,09/21/1995,,,,3,,,288000,510700,,,apartments,3,2,,,,5,wood frame (5),,,,94118,40752990593
8900894,2,new construction wood frame,01/18/1989,3798,001,800,,King,St,,,office (temporary),cancelled,06/20/1989,01/18/1989,,,,,,1,,,54256,,,,office,0,2,,,,5,wood frame (5),,,,,775500367797
9419807S,2,new construction wood frame,12/01/1994,3541,024,2182,,15th,St,,,erect a four story three unit residential bldg,complete,10/29/1996,12/01/1994,02/02/1996,10/29/1996,,,,4,,,250000,395000,,,apartments,3,2,,,,5,wood frame (5),Y,,,94116,789367376706
9705280S,2,new construction wood frame,03/21/1997,3998,006,500,,Indiana,St,,,erect a 4 story self storage,complete,07/16/1999,03/21/1997,11/26/1997,07/16/1999,,,,4,,,3000000,,,,"warehouse, furniture",0,2,,,,2,constr type 2,Y,,,94107,613686168451
9515394S,2,new construction wood frame,09/19/1995,1742,044,1200,,09th,Av,,,commercial-retail,expired,06/10/1998,09/19/1995,06/10/1996,,,,,1,,,300000,406000,,,retail sales,0,2,,,,5,wood frame (5),Y,,,94122,543520112517
9603011S,1,new construction,02/23/1996,3722,033,179,,03rd,St,,,erect a 30 story hotel with restaurant,issued,05/16/1997,02/23/1996,05/16/1997,,,,,30,,,5000000,35354000,,,tourist hotel/motel,428,2,,,,1,constr type 1,Y,,,94118,562730164741
9603578,2,new construction wood frame,03/05/1996,2724,003,250,,Palo Alto,Av,,,erect storage building,filing,03/05/1996,03/05/1996,,,,,,1,,,250000,,,,storage shed,0,2,,,,5,wood frame (5),,7,Twin Peaks,94131,563993142953
9623474,2,new construction wood frame,12/05/1996,3995,027,675,,Tennessee,St,,,to erect live work,complete,09/05/1997,12/05/1996,02/06/1997,09/05/1997,,,,3,,,280000,340000,,,artist live/work,4,2,,,,5,wood frame (5),,,,94107,794141379412
9711446S,1,new construction,07/28/1997,3751,078,355,,04th,St,,,erect apartments/retail/parking,complete,12/17/2001,07/28/1997,11/04/1997,12/17/2001,,,,8,,,15000000,24000000,,,apartments,158,2,,,,1,constr type 1,Y,,,94107,625415165849
9719130,2,new construction wood frame,09/26/1997,5530,009,1625,,York,St,,,erect a one story private parking garage,complete,06/04/1999,09/26/1997,10/02/1998,06/04/1999,,,,1,,,12000,,,,prkng garage/private,0,2,,,,,,,,,94110,638874183737
9721631S,2,new construction wood frame,10/27/1997,6543,020,4515,,25th,St,,,erect a two story two family dwelling,complete,06/09/1999,10/27/1997,05/14/1998,06/09/1999,,,,2,,,300000,,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,,,94114,796551364979
9822298S,2,new construction wood frame,10/30/1998,0963,029,2910,,Pacific,Av,,,to erect 1 family dwelling,withdrawn,01/07/1999,10/30/1998,,,,,,3,,,500000,,,,1 family dwelling,1,4,,,,5,wood frame (5),Y,,,94115,799550382156
20000106378,1,new construction,01/06/2000,5670,022,351,,Winfield,St,,,,filed,01/06/2000,01/06/2000,,,,,,,,,14590479,,,,,,2,,,,,,,9,Bernal Heights,94110,761929186450
200903254880,2,new construction wood frame,03/25/2009,5859,040,230,,Sweeny,St,,,"bldg.#2: erect a 3 stories, single family dwelling",complete,05/31/2016,03/25/2009,01/20/2012,05/31/2016,09/30/2013,,,3,,,350000,506888.21,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Portola,94134,1260261487670
8914445,2,new construction wood frame,08/10/1989,2934,008,333,,Edgehill,Wy,,,erect a two story single family dwelling,expired,07/21/1993,08/10/1989,06/25/1991,,,,,2,,,350000,400000,,,1 family dwelling,1,2,,,,5,wood frame (5),,,,94127,776706351331
8201731S,1,new construction,03/09/1982,0273,007,750,,Bush,St,0,,,cancelled,02/29/1996,03/09/1982,,,,,,,,,4000000,,,,,60,2,,,,,,Y,3,Nob Hill,94108,9382298657
8108485,2,new construction wood frame,09/29/1981,1779,055,2345,,Irving,St,,,,cancelled,03/23/1983,09/29/1981,,,,,,,,,1545400,,,,,0,2,,,,,,,4,Sunset/Parkside,94122,3040113829
